timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710432835966,273,Get all Heroes,200,OK,Thread Group 1-135,text,true,,269,127,1000,1000,http://localhost:3001/characters,273,0,0
1710432835967,273,Get all Heroes,200,OK,Thread Group 1-268,text,true,,269,127,1000,1000,http://localhost:3001/characters,273,0,0
1710432835968,273,Get Hero by ID,200,OK,Thread Group 1-23,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835969,273,Get Hero by ID,200,OK,Thread Group 1-338,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835970,273,Get Hero by ID,200,OK,Thread Group 1-166,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835971,273,Get Hero by ID,200,OK,Thread Group 1-374,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835973,271,Get Hero by ID,200,OK,Thread Group 1-256,text,true,,192,129,1000,1000,http://localhost:3001/character/id,271,0,0
1710432835975,272,Get Hero by ID,200,OK,Thread Group 1-105,text,true,,192,129,1000,1000,http://localhost:3001/character/id,272,0,0
1710432835974,273,Get Hero by ID,200,OK,Thread Group 1-47,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835978,275,Get Hero by ID,200,OK,Thread Group 1-111,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432835976,277,Get Hero by ID,200,OK,Thread Group 1-426,text,true,,192,129,1000,1000,http://localhost:3001/character/id,277,0,0
1710432835977,276,Get Hero by ID,200,OK,Thread Group 1-245,text,true,,192,129,1000,1000,http://localhost:3001/character/id,276,0,0
1710432835979,276,Get Hero by ID,200,OK,Thread Group 1-30,text,true,,192,129,1000,1000,http://localhost:3001/character/id,276,0,0
1710432835982,274,Get Hero by ID,200,OK,Thread Group 1-261,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432835981,275,Get Hero by ID,200,OK,Thread Group 1-262,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432835984,274,Get Hero by ID,200,OK,Thread Group 1-397,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432835983,276,Get Hero by ID,200,OK,Thread Group 1-265,text,true,,192,129,1000,1000,http://localhost:3001/character/id,276,0,0
1710432835986,273,Get Hero by ID,200,OK,Thread Group 1-386,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835985,275,Get Hero by ID,200,OK,Thread Group 1-369,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432835987,274,Get Hero by ID,200,OK,Thread Group 1-254,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432835989,272,Get Hero by ID,200,OK,Thread Group 1-385,text,true,,192,129,1000,1000,http://localhost:3001/character/id,272,0,0
1710432835988,273,Get Hero by ID,200,OK,Thread Group 1-87,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835990,272,Get Hero by ID,200,OK,Thread Group 1-16,text,true,,192,129,1000,1000,http://localhost:3001/character/id,272,0,0
1710432835991,271,Get Hero by ID,200,OK,Thread Group 1-398,text,true,,192,129,1000,1000,http://localhost:3001/character/id,271,0,0
1710432835994,271,Get all Heroes,200,OK,Thread Group 1-100,text,true,,269,127,1000,1000,http://localhost:3001/characters,271,0,0
1710432835992,273,Get Hero by ID,200,OK,Thread Group 1-393,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835993,273,Get Hero by ID,200,OK,Thread Group 1-17,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835997,270,Get Hero by ID,200,OK,Thread Group 1-357,text,true,,192,129,1000,1000,http://localhost:3001/character/id,270,0,0
1710432835995,272,Get Hero by ID,200,OK,Thread Group 1-373,text,true,,192,129,1000,1000,http://localhost:3001/character/id,272,0,0
1710432835997,271,Get Hero by ID,200,OK,Thread Group 1-143,text,true,,192,129,1000,1000,http://localhost:3001/character/id,271,0,0
1710432835998,273,Get Hero by ID,200,OK,Thread Group 1-61,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432835999,273,Get Hero by ID,200,OK,Thread Group 1-121,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432836000,275,Get Hero by ID,200,OK,Thread Group 1-425,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836001,275,Get Hero by ID,200,OK,Thread Group 1-18,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836002,274,Get Hero by ID,200,OK,Thread Group 1-46,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836002,278,Get Hero by ID,200,OK,Thread Group 1-341,text,true,,192,129,1000,1000,http://localhost:3001/character/id,278,0,0
1710432836004,276,Get Hero by ID,200,OK,Thread Group 1-65,text,true,,192,129,1000,1000,http://localhost:3001/character/id,276,0,0
1710432836003,277,Get Hero by ID,200,OK,Thread Group 1-19,text,true,,192,129,1000,1000,http://localhost:3001/character/id,277,0,0
1710432836006,275,Get Hero by ID,200,OK,Thread Group 1-250,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836005,276,Get Hero by ID,200,OK,Thread Group 1-414,text,true,,192,129,1000,1000,http://localhost:3001/character/id,276,0,0
1710432836007,274,Get Hero by ID,200,OK,Thread Group 1-101,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836008,275,Get Hero by ID,200,OK,Thread Group 1-157,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836009,274,Get Hero by ID,200,OK,Thread Group 1-394,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836010,275,Get Hero by ID,200,OK,Thread Group 1-377,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836011,274,Get Hero by ID,200,OK,Thread Group 1-74,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836012,274,Get Hero by ID,200,OK,Thread Group 1-235,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836014,274,Get all Heroes,200,OK,Thread Group 1-147,text,true,,269,127,1000,1000,http://localhost:3001/characters,274,0,0
1710432836016,274,Get all Heroes,200,OK,Thread Group 1-103,text,true,,269,127,1000,1000,http://localhost:3001/characters,274,0,0
1710432836016,276,Get Hero by ID,200,OK,Thread Group 1-216,text,true,,192,129,1000,1000,http://localhost:3001/character/id,276,0,0
1710432836018,275,Get Hero by ID,200,OK,Thread Group 1-390,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836020,275,Get Hero by ID,200,OK,Thread Group 1-378,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836021,274,Get Hero by ID,200,OK,Thread Group 1-49,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836021,274,Get Hero by ID,200,OK,Thread Group 1-277,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836021,276,Get Hero by ID,200,OK,Thread Group 1-362,text,true,,192,129,1000,1000,http://localhost:3001/character/id,276,0,0
1710432836022,275,Get Hero by ID,200,OK,Thread Group 1-361,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836024,274,Get Hero by ID,200,OK,Thread Group 1-220,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836026,274,Get Hero by ID,200,OK,Thread Group 1-365,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836028,275,Get Hero by ID,200,OK,Thread Group 1-413,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836029,275,Get Hero by ID,200,OK,Thread Group 1-382,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836032,275,Get Hero by ID,200,OK,Thread Group 1-418,text,true,,192,129,1000,1000,http://localhost:3001/character/id,275,0,0
1710432836033,274,Get Hero by ID,200,OK,Thread Group 1-410,text,true,,192,129,1000,1000,http://localhost:3001/character/id,274,0,0
1710432836035,273,Get Hero by ID,200,OK,Thread Group 1-244,text,true,,192,129,1000,1000,http://localhost:3001/character/id,273,0,0
1710432836037,273,Get all Heroes,200,OK,Thread Group 1-165,text,true,,269,127,1000,1000,http://localhost:3001/characters,273,0,0
